buffer,b1,se,z,p,aic,daic
250,-3.3334181646336503,0.16998655696811857,-19.609892829695006,1.2729985968929273e-85,52680.61982477611,0
500,-1.9659321984136897,0.11926236882175006,-16.484094839269698,4.773907215074126e-61,53362.80043454813,682.1806097720182
750,-1.1270646991451132,0.08634104772671733,-13.053637045411424,6.058459122924453e-39,53578.56474379102,897.9449190149098
1000,-0.9188774581033555,0.08727526280359484,-10.528498323416189,6.384483349410345e-26,53653.31282736958,972.6930025934635
1250,-1.068549134160004,0.09664672034549768,-11.056237918266646,2.0449602098526164e-28,53636.043613318616,955.4237885425027
1500,-1.1252030373671857,0.10162913153974519,-11.07165849318648,1.7218409114282476e-28,53633.63526524656,953.0154404704444
1750,-1.2039193729795221,0.10348846925102873,-11.633367289057226,2.788752985440261e-31,53615.63359122992,935.0137664538051
2000,-1.0232569947230845,0.10103118601184219,-10.128130086517496,4.145000692980405e-24,53659.67482444753,979.054999671418
