buffer,b1,se,z,p,aic,daic
250,-2.898508384076657,0.23055160866080043,-12.572058815434655,3.007875471681925e-36,20340.536560263277,0
500,-2.215269369720212,0.21154209591064763,-10.472002559036335,1.161592765580541e-25,20517.02177738282,176.48521711954163
750,-1.3032246034226311,0.15465828258650574,-8.426477920402952,3.56224993744162e-17,20615.24473304682,274.708172783543
1000,-0.9757019853875353,0.14676223130529953,-6.648181733881168,2.967357889451959e-11,20652.008753047998,311.4721927847204
1250,-0.44038193095167755,0.13343095935133636,-3.300447910234312,9.653063121834005e-4,20690.230785139494,349.69422487621705
1500,-0.4493274131847935,0.1298603316162298,-3.4600821327999522,5.400106494402105e-4,20689.116182310525,348.57962204724754
1750,-0.4356645121393214,0.1289272703548678,-3.37914943006371,7.271047520645541e-4,20689.699456728984,349.1628964657066
2000,-0.7597279332616054,0.1588093322980445,-4.783899801529235,1.7192641275565227e-6,20676.869752038318,336.3331917750402
