buffer,b1,se,z,p,aic,daic
250,-0.2666786774892824,0.04819439437650985,-5.533396174789629,3.140889353356484e-8,55954.483720872115,48.122532186622266
500,0.23584286910435157,0.05435204297959989,4.339172111577685,1.43020482475781e-5,55966.39297398427,60.03178529877914
750,0.3666198995142085,0.058186084865831156,6.300817461074789,2.960799201227926e-10,55945.03264816263,38.67145947714016
1000,0.5180574549151442,0.05917647318635786,8.75444964899621,2.051018405963838e-18,55906.36118868549,0
1250,0.042318113055234176,0.06675162238696586,0.6339638130428026,0.5261044385010261,55984.936896663785,78.57570797829248
1500,0.24199763832262589,0.06574249269821235,3.680992739863151,2.3232762104050196e-4,55971.69698611523,65.33579742973961
1750,0.2625076464086207,0.06734592619908207,3.8978994161074985,9.70307003145376e-5,55970.02323096847,63.66204228298011
2000,0.23230275609684914,0.06777370115068349,3.4276238740505383,6.088884376848678e-4,55973.51628722035,67.15509853485855
